season,date_code,weekending,region,Influenza_Category,Count
2009-2010,201034,08/22/10,Northern,Influenza_B,0
2009-2010,201034,08/22/10,Northern,Influenza_Total,0
2009-2010,201034,08/22/10,Northern,Influenza_Tested,3
2009-2010,201034,08/22/10,Upper Southern,Influenza_A,1
2009-2010,201034,08/22/10,Upper Southern,Influenza_AH3,1
2009-2010,201034,08/22/10,Upper Southern,Influenza_AH1,0
2009-2010,201034,08/22/10,Upper Southern,Influenza_AH1pdm09,0
2009-2010,201034,08/22/10,Upper Southern,Influenza_ANotSubtyped,0
2009-2010,201034,08/22/10,Upper Southern,Influenza_B,0
2009-2010,201034,08/22/10,Upper Southern,Influenza_Total,1
2009-2010,201034,08/22/10,Upper Southern,Influenza_Tested,1
2009-2010,201035,08/29/10,Bay Area,Influenza_A,2
2009-2010,201035,08/29/10,Bay Area,Influenza_AH3,2
2009-2010,201035,08/29/10,Bay Area,Influenza_AH1,0
2009-2010,201035,08/29/10,Bay Area,Influenza_AH1pdm09,0
2009-2010,201035,08/29/10,Bay Area,Influenza_ANotSubtyped,0
2009-2010,201035,08/29/10,Bay Area,Influenza_B,0
2009-2010,201035,08/29/10,Bay Area,Influenza_Total,2
2009-2010,201035,08/29/10,Bay Area,Influenza_Tested,5
2009-2010,201035,08/29/10,California,Influenza_A,4
2009-2010,201035,08/29/10,California,Influenza_AH3,4
2009-2010,201035,08/29/10,California,Influenza_AH1,0
2009-2010,201035,08/29/10,California,Influenza_AH1pdm09,0
2009-2010,201035,08/29/10,California,Influenza_ANotSubtyped,0
2009-2010,201035,08/29/10,California,Influenza_B,0
2009-2010,201035,08/29/10,California,Influenza_Total,4
2009-2010,201035,08/29/10,California,Influenza_Tested,20
2009-2010,201035,08/29/10,Central,Influenza_A,0
2009-2010,201035,08/29/10,Central,Influenza_AH3,0
2009-2010,201035,08/29/10,Central,Influenza_AH1,0
2009-2010,201035,08/29/10,Central,Influenza_AH1pdm09,0
2009-2010,201035,08/29/10,Central,Influenza_ANotSubtyped,0
2009-2010,201035,08/29/10,Central,Influenza_B,0
2009-2010,201035,08/29/10,Central,Influenza_Total,0
2009-2010,201035,08/29/10,Central,Influenza_Tested,7
2009-2010,201035,08/29/10,Lower Southern,Influenza_A,1
2009-2010,201035,08/29/10,Lower Southern,Influenza_AH3,1
2009-2010,201035,08/29/10,Lower Southern,Influenza_AH1,0
2009-2010,201035,08/29/10,Lower Southern,Influenza_AH1pdm09,0
2009-2010,201035,08/29/10,Lower Southern,Influenza_ANotSubtyped,0
2009-2010,201035,08/29/10,Lower Southern,Influenza_B,0
2009-2010,201035,08/29/10,Lower Southern,Influenza_Total,1
2009-2010,201035,08/29/10,Lower Southern,Influenza_Tested,4
2009-2010,201035,08/29/10,Northern,Influenza_A,0
2009-2010,201035,08/29/10,Northern,Influenza_AH3,0
2009-2010,201035,08/29/10,Northern,Influenza_AH1,0
2009-2010,201035,08/29/10,Northern,Influenza_AH1pdm09,0
2009-2010,201035,08/29/10,Northern,Influenza_ANotSubtyped,0
2009-2010,201035,08/29/10,Northern,Influenza_B,0
2009-2010,201035,08/29/10,Northern,Influenza_Total,0
2009-2010,201035,08/29/10,Northern,Influenza_Tested,2
2009-2010,201035,08/29/10,Upper Southern,Influenza_A,1
2009-2010,201035,08/29/10,Upper Southern,Influenza_AH3,1
2009-2010,201035,08/29/10,Upper Southern,Influenza_AH1,0
2009-2010,201035,08/29/10,Upper Southern,Influenza_AH1pdm09,0
2009-2010,201035,08/29/10,Upper Southern,Influenza_ANotSubtyped,0
2009-2010,201035,08/29/10,Upper Southern,Influenza_B,0
2009-2010,201035,08/29/10,Upper Southern,Influenza_Total,1
2009-2010,201035,08/29/10,Upper Southern,Influenza_Tested,2
2009-2010,201036,09/05/10,Bay Area,Influenza_A,2
2009-2010,201036,09/05/10,Bay Area,Influenza_AH3,2
2009-2010,201036,09/05/10,Bay Area,Influenza_AH1,0
2009-2010,201036,09/05/10,Bay Area,Influenza_AH1pdm09,0
2009-2010,201036,09/05/10,Bay Area,Influenza_ANotSubtyped,0
2009-2010,201036,09/05/10,Bay Area,Influenza_B,0
2009-2010,201036,09/05/10,Bay Area,Influenza_Total,2
2009-2010,201036,09/05/10,Bay Area,Influenza_Tested,6
2009-2010,201036,09/05/10,California,Influenza_A,3
2009-2010,201036,09/05/10,California,Influenza_AH3,3
2009-2010,201036,09/05/10,California,Influenza_AH1,0
2009-2010,201036,09/05/10,California,Influenza_AH1pdm09,0
2009-2010,201036,09/05/10,California,Influenza_ANotSubtyped,0
2009-2010,201036,09/05/10,California,Influenza_B,0
2009-2010,201036,09/05/10,California,Influenza_Total,3
2009-2010,201036,09/05/10,California,Influenza_Tested,23
2009-2010,201036,09/05/10,Central,Influenza_A,0
2009-2010,201036,09/05/10,Central,Influenza_AH3,0
2009-2010,201036,09/05/10,Central,Influenza_AH1,0
2009-2010,201036,09/05/10,Central,Influenza_AH1pdm09,0
2009-2010,201036,09/05/10,Central,Influenza_ANotSubtyped,0
2009-2010,201036,09/05/10,Central,Influenza_B,0
2009-2010,201036,09/05/10,Central,Influenza_Total,0
2009-2010,201036,09/05/10,Central,Influenza_Tested,3
2009-2010,201036,09/05/10,Lower Southern,Influenza_A,0
2009-2010,201036,09/05/10,Lower Southern,Influenza_AH3,0
2009-2010,201036,09/05/10,Lower Southern,Influenza_AH1,0
2009-2010,201036,09/05/10,Lower Southern,Influenza_AH1pdm09,0
2009-2010,201036,09/05/10,Lower Southern,Influenza_ANotSubtyped,0
2009-2010,201036,09/05/10,Lower Southern,Influenza_B,0
2009-2010,201036,09/05/10,Lower Southern,Influenza_Total,0
2009-2010,201036,09/05/10,Lower Southern,Influenza_Tested,4
2009-2010,201036,09/05/10,Northern,Influenza_A,0
2009-2010,201036,09/05/10,Northern,Influenza_AH3,0
2009-2010,201036,09/05/10,Northern,Influenza_AH1,0
2009-2010,201036,09/05/10,Northern,Influenza_AH1pdm09,0
2009-2010,201036,09/05/10,Northern,Influenza_ANotSubtyped,0
2009-2010,201036,09/05/10,Northern,Influenza_B,0
2009-2010,201036,09/05/10,Northern,Influenza_Total,0
2009-2010,201036,09/05/10,Northern,Influenza_Tested,3
2009-2010,201036,09/05/10,Upper Southern,Influenza_A,1
2009-2010,201036,09/05/10,Upper Southern,Influenza_AH3,1
2009-2010,201036,09/05/10,Upper Southern,Influenza_AH1,0
2009-2010,201036,09/05/10,Upper Southern,Influenza_AH1pdm09,0
2009-2010,201036,09/05/10,Upper Southern,Influenza_ANotSubtyped,0
2009-2010,201036,09/05/10,Upper Southern,Influenza_B,0
2009-2010,201036,09/05/10,Upper Southern,Influenza_Total,1
2009-2010,201036,09/05/10,Upper Southern,Influenza_Tested,7
2009-2010,201037,09/12/10,Bay Area,Influenza_A,0
2009-2010,201037,09/12/10,Bay Area,Influenza_AH3,0
2009-2010,201037,09/12/10,Bay Area,Influenza_AH1,0
2009-2010,201037,09/12/10,Bay Area,Influenza_AH1pdm09,0
2009-2010,201037,09/12/10,Bay Area,Influenza_ANotSubtyped,0
2009-2010,201037,09/12/10,Bay Area,Influenza_B,0
2009-2010,201037,09/12/10,Bay Area,Influenza_Total,0
2009-2010,201037,09/12/10,Bay Area,Influenza_Tested,5
2009-2010,201037,09/12/10,California,Influenza_A,2
2009-2010,201037,09/12/10,California,Influenza_AH3,2
2009-2010,201037,09/12/10,California,Influenza_AH1,0
2009-2010,201037,09/12/10,California,Influenza_AH1pdm09,0
2009-2010,201037,09/12/10,California,Influenza_ANotSubtyped,0
2009-2010,201037,09/12/10,California,Influenza_B,0
2009-2010,201037,09/12/10,California,Influenza_Total,2
2009-2010,201037,09/12/10,California,Influenza_Tested,29
2009-2010,201037,09/12/10,Central,Influenza_A,0
2009-2010,201037,09/12/10,Central,Influenza_AH3,0
2009-2010,201037,09/12/10,Central,Influenza_AH1,0
2009-2010,201037,09/12/10,Central,Influenza_AH1pdm09,0
2009-2010,201037,09/12/10,Central,Influenza_ANotSubtyped,0
2009-2010,201037,09/12/10,Central,Influenza_B,0
2009-2010,201037,09/12/10,Central,Influenza_Total,0
2009-2010,201037,09/12/10,Central,Influenza_Tested,1
2009-2010,201037,09/12/10,Lower Southern,Influenza_A,1
2009-2010,201037,09/12/10,Lower Southern,Influenza_AH3,1
2009-2010,201037,09/12/10,Lower Southern,Influenza_AH1,0
2009-2010,201037,09/12/10,Lower Southern,Influenza_AH1pdm09,0
2009-2010,201037,09/12/10,Lower Southern,Influenza_ANotSubtyped,0
2009-2010,201037,09/12/10,Lower Southern,Influenza_B,0
2009-2010,201037,09/12/10,Lower Southern,Influenza_Total,1
2009-2010,201037,09/12/10,Lower Southern,Influenza_Tested,8
2009-2010,201037,09/12/10,Northern,Influenza_A,0
2009-2010,201037,09/12/10,Northern,Influenza_AH3,0
2009-2010,201037,09/12/10,Northern,Influenza_AH1,0
2009-2010,201037,09/12/10,Northern,Influenza_AH1pdm09,0
2009-2010,201037,09/12/10,Northern,Influenza_ANotSubtyped,0
2009-2010,201037,09/12/10,Northern,Influenza_B,0
2009-2010,201037,09/12/10,Northern,Influenza_Total,0
2009-2010,201037,09/12/10,Northern,Influenza_Tested,7
2009-2010,201037,09/12/10,Upper Southern,Influenza_A,1
2009-2010,201037,09/12/10,Upper Southern,Influenza_AH3,1
2009-2010,201037,09/12/10,Upper Southern,Influenza_AH1,0
2009-2010,201037,09/12/10,Upper Southern,Influenza_AH1pdm09,0
2009-2010,201037,09/12/10,Upper Southern,Influenza_ANotSubtyped,0
2009-2010,201037,09/12/10,Upper Southern,Influenza_B,0
2009-2010,201037,09/12/10,Upper Southern,Influenza_Total,1
2009-2010,201037,09/12/10,Upper Southern,Influenza_Tested,8
2009-2010,201038,09/19/10,Bay Area,Influenza_A,2
2009-2010,201038,09/19/10,Bay Area,Influenza_AH3,2
2009-2010,201038,09/19/10,Bay Area,Influenza_AH1,0
2009-2010,201038,09/19/10,Bay Area,Influenza_AH1pdm09,0
2009-2010,201038,09/19/10,Bay Area,Influenza_ANotSubtyped,0
2009-2010,201038,09/19/10,Bay Area,Influenza_B,0
2009-2010,201038,09/19/10,Bay Area,Influenza_Total,2
2009-2010,201038,09/19/10,Bay Area,Influenza_Tested,5
2009-2010,201038,09/19/10,California,Influenza_A,2
2009-2010,201038,09/19/10,California,Influenza_AH3,2
2009-2010,201038,09/19/10,California,Influenza_AH1,0
2009-2010,201038,09/19/10,California,Influenza_AH1pdm09,0
2009-2010,201038,09/19/10,California,Influenza_ANotSubtyped,0
2009-2010,201038,09/19/10,California,Influenza_B,0
2009-2010,201038,09/19/10,California,Influenza_Total,2
2009-2010,201038,09/19/10,California,Influenza_Tested,31
2009-2010,201038,09/19/10,Central,Influenza_A,0
2009-2010,201038,09/19/10,Central,Influenza_AH3,0
2009-2010,201038,09/19/10,Central,Influenza_AH1,0
2009-2010,201038,09/19/10,Central,Influenza_AH1pdm09,0
2009-2010,201038,09/19/10,Central,Influenza_ANotSubtyped,0
2009-2010,201038,09/19/10,Central,Influenza_B,0
2009-2010,201038,09/19/10,Central,Influenza_Total,0
2009-2010,201038,09/19/10,Central,Influenza_Tested,3
2009-2010,201038,09/19/10,Lower Southern,Influenza_A,0
2009-2010,201038,09/19/10,Lower Southern,Influenza_AH3,0
2009-2010,201038,09/19/10,Lower Southern,Influenza_AH1,0
2009-2010,201038,09/19/10,Lower Southern,Influenza_AH1pdm09,0
2009-2010,201038,09/19/10,Lower Southern,Influenza_ANotSubtyped,0
2009-2010,201038,09/19/10,Lower Southern,Influenza_B,0
2009-2010,201038,09/19/10,Lower Southern,Influenza_Total,0
2009-2010,201038,09/19/10,Lower Southern,Influenza_Tested,10
2009-2010,201038,09/19/10,Northern,Influenza_A,0
2009-2010,201038,09/19/10,Northern,Influenza_AH3,0
2009-2010,201038,09/19/10,Northern,Influenza_AH1,0
2009-2010,201038,09/19/10,Northern,Influenza_AH1pdm09,0
2009-2010,201038,09/19/10,Northern,Influenza_ANotSubtyped,0
2009-2010,201038,09/19/10,Northern,Influenza_B,0
2009-2010,201038,09/19/10,Northern,Influenza_Total,0
2009-2010,201038,09/19/10,Northern,Influenza_Tested,2
2009-2010,201038,09/19/10,Upper Southern,Influenza_A,0
2009-2010,201038,09/19/10,Upper Southern,Influenza_AH3,0
2009-2010,201038,09/19/10,Upper Southern,Influenza_AH1,0
2009-2010,201038,09/19/10,Upper Southern,Influenza_AH1pdm09,0
2009-2010,201038,09/19/10,Upper Southern,Influenza_ANotSubtyped,0
2009-2010,201038,09/19/10,Upper Southern,Influenza_B,0
2009-2010,201038,09/19/10,Upper Southern,Influenza_Total,0
2009-2010,201038,09/19/10,Upper Southern,Influenza_Tested,11
2009-2010,201039,09/26/10,Bay Area,Influenza_A,2
2009-2010,201039,09/26/10,Bay Area,Influenza_AH3,2
2009-2010,201039,09/26/10,Bay Area,Influenza_AH1,0
2009-2010,201039,09/26/10,Bay Area,Influenza_AH1pdm09,0
2009-2010,201039,09/26/10,Bay Area,Influenza_ANotSubtyped,0
2009-2010,201039,09/26/10,Bay Area,Influenza_B,0
2009-2010,201039,09/26/10,Bay Area,Influenza_Total,2
2009-2010,201039,09/26/10,Bay Area,Influenza_Tested,12
2009-2010,201039,09/26/10,California,Influenza_A,2
2009-2010,201039,09/26/10,California,Influenza_AH3,2
2009-2010,201039,09/26/10,California,Influenza_AH1,0
2009-2010,201039,09/26/10,California,Influenza_AH1pdm09,0
2009-2010,201039,09/26/10,California,Influenza_ANotSubtyped,0
2009-2010,201039,09/26/10,California,Influenza_B,1
2009-2010,201039,09/26/10,California,Influenza_Total,3
2009-2010,201039,09/26/10,California,Influenza_Tested,50
2009-2010,201039,09/26/10,Central,Influenza_A,0
2009-2010,201039,09/26/10,Central,Influenza_AH3,0
2009-2010,201039,09/26/10,Central,Influenza_AH1,0
2009-2010,201039,09/26/10,Central,Influenza_AH1pdm09,0
2009-2010,201039,09/26/10,Central,Influenza_ANotSubtyped,0
2009-2010,201039,09/26/10,Central,Influenza_B,0
2009-2010,201039,09/26/10,Central,Influenza_Total,0
2009-2010,201039,09/26/10,Central,Influenza_Tested,5
2009-2010,201039,09/26/10,Lower Southern,Influenza_A,0
2009-2010,201039,09/26/10,Lower Southern,Influenza_AH3,0
2009-2010,201039,09/26/10,Lower Southern,Influenza_AH1,0
2009-2010,201039,09/26/10,Lower Southern,Influenza_AH1pdm09,0
2009-2010,201039,09/26/10,Lower Southern,Influenza_ANotSubtyped,0
2009-2010,201039,09/26/10,Lower Southern,Influenza_B,1
2009-2010,201039,09/26/10,Lower Southern,Influenza_Total,1
2009-2010,201039,09/26/10,Lower Southern,Influenza_Tested,9
2009-2010,201039,09/26/10,Northern,Influenza_A,0
2009-2010,201039,09/26/10,Northern,Influenza_AH3,0
2009-2010,201039,09/26/10,Northern,Influenza_AH1,0
2009-2010,201039,09/26/10,Northern,Influenza_AH1pdm09,0
2009-2010,201039,09/26/10,Northern,Influenza_ANotSubtyped,0
2009-2010,201039,09/26/10,Northern,Influenza_B,0
2009-2010,201039,09/26/10,Northern,Influenza_Total,0
2009-2010,201039,09/26/10,Northern,Influenza_Tested,0
2009-2010,201039,09/26/10,Upper Southern,Influenza_A,0
2009-2010,201039,09/26/10,Upper Southern,Influenza_AH3,0
2009-2010,201039,09/26/10,Upper Southern,Influenza_AH1,0
2009-2010,201039,09/26/10,Upper Southern,Influenza_AH1pdm09,0
2009-2010,201039,09/26/10,Upper Southern,Influenza_ANotSubtyped,0
2009-2010,201039,09/26/10,Upper Southern,Influenza_B,0
2009-2010,201039,09/26/10,Upper Southern,Influenza_Total,0
2009-2010,201039,09/26/10,Upper Southern,Influenza_Tested,24
2010-2011,201040,10/03/10,Bay Area,Influenza_A,3
2010-2011,201040,10/03/10,Bay Area,Influenza_AH3,3
2010-2011,201040,10/03/10,Bay Area,Influenza_AH1pdm09,0
2010-2011,201040,10/03/10,Bay Area,Influenza_ANotSubtyped,0
2010-2011,201040,10/03/10,Bay Area,Influenza_B,1
2010-2011,201040,10/03/10,Bay Area,Influenza_Total,4
2010-2011,201040,10/03/10,Bay Area,Influenza_Tested,9
2010-2011,201040,10/03/10,California,Influenza_A,6
2010-2011,201040,10/03/10,California,Influenza_AH3,4
2010-2011,201040,10/03/10,California,Influenza_AH1pdm09,2
2010-2011,201040,10/03/10,California,Influenza_ANotSubtyped,0
2010-2011,201040,10/03/10,California,Influenza_B,2
2010-2011,201040,10/03/10,California,Influenza_Total,8
2010-2011,201040,10/03/10,California,Influenza_Tested,71
2010-2011,201040,10/03/10,Central,Influenza_A,0
2010-2011,201040,10/03/10,Central,Influenza_AH3,0
2010-2011,201040,10/03/10,Central,Influenza_AH1pdm09,0
2010-2011,201040,10/03/10,Central,Influenza_ANotSubtyped,0
2010-2011,201040,10/03/10,Central,Influenza_B,0
2010-2011,201040,10/03/10,Central,Influenza_Total,0
2010-2011,201040,10/03/10,Central,Influenza_Tested,10
2010-2011,201040,10/03/10,Lower Southern,Influenza_A,3
2010-2011,201040,10/03/10,Lower Southern,Influenza_AH3,1
2010-2011,201040,10/03/10,Lower Southern,Influenza_AH1pdm09,2
2010-2011,201040,10/03/10,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201040,10/03/10,Lower Southern,Influenza_B,1
2010-2011,201040,10/03/10,Lower Southern,Influenza_Total,4
2010-2011,201040,10/03/10,Lower Southern,Influenza_Tested,21
2010-2011,201040,10/03/10,Northern,Influenza_A,0
2010-2011,201040,10/03/10,Northern,Influenza_AH3,0
2010-2011,201040,10/03/10,Northern,Influenza_AH1pdm09,0
2010-2011,201040,10/03/10,Northern,Influenza_ANotSubtyped,0
2010-2011,201040,10/03/10,Northern,Influenza_B,0
2010-2011,201040,10/03/10,Northern,Influenza_Total,0
2010-2011,201040,10/03/10,Northern,Influenza_Tested,4
2010-2011,201040,10/03/10,Upper Southern,Influenza_A,0
2010-2011,201040,10/03/10,Upper Southern,Influenza_AH3,0
2010-2011,201040,10/03/10,Upper Southern,Influenza_AH1pdm09,0
2010-2011,201040,10/03/10,Upper Southern,Influenza_ANotSubtyped,0
2010-2011,201040,10/03/10,Upper Southern,Influenza_B,0
2010-2011,201040,10/03/10,Upper Southern,Influenza_Total,0
2010-2011,201040,10/03/10,Upper Southern,Influenza_Tested,27
2010-2011,201041,10/10/10,Bay Area,Influenza_A,3
2010-2011,201041,10/10/10,Bay Area,Influenza_AH3,2
2010-2011,201041,10/10/10,Bay Area,Influenza_AH1pdm09,1
2010-2011,201041,10/10/10,Bay Area,Influenza_ANotSubtyped,0
2010-2011,201041,10/10/10,Bay Area,Influenza_B,1
2010-2011,201041,10/10/10,Bay Area,Influenza_Total,4
2010-2011,201041,10/10/10,Bay Area,Influenza_Tested,9
2010-2011,201041,10/10/10,California,Influenza_A,3
2010-2011,201041,10/10/10,California,Influenza_AH3,2
2010-2011,201041,10/10/10,California,Influenza_AH1pdm09,1
2010-2011,201041,10/10/10,California,Influenza_ANotSubtyped,0
2010-2011,201041,10/10/10,California,Influenza_B,1
2010-2011,201041,10/10/10,California,Influenza_Total,4
2010-2011,201041,10/10/10,California,Influenza_Tested,49
2010-2011,201041,10/10/10,Central,Influenza_A,0
2010-2011,201041,10/10/10,Central,Influenza_AH3,0
2010-2011,201041,10/10/10,Central,Influenza_AH1pdm09,0
2010-2011,201041,10/10/10,Central,Influenza_ANotSubtyped,0
2010-2011,201041,10/10/10,Central,Influenza_B,0
2010-2011,201041,10/10/10,Central,Influenza_Total,0
2010-2011,201041,10/10/10,Central,Influenza_Tested,5
2010-2011,201041,10/10/10,Lower Southern,Influenza_A,0
2010-2011,201041,10/10/10,Lower Southern,Influenza_AH3,0
2010-2011,201041,10/10/10,Lower Southern,Influenza_AH1pdm09,0
2010-2011,201041,10/10/10,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201041,10/10/10,Lower Southern,Influenza_B,0
2010-2011,201041,10/10/10,Lower Southern,Influenza_Total,0
2010-2011,201041,10/10/10,Lower Southern,Influenza_Tested,8
2010-2011,201041,10/10/10,Northern,Influenza_A,0
2010-2011,201041,10/10/10,Northern,Influenza_AH3,0
2010-2011,201041,10/10/10,Northern,Influenza_AH1pdm09,0
2010-2011,201041,10/10/10,Northern,Influenza_ANotSubtyped,0
2010-2011,201041,10/10/10,Northern,Influenza_B,0
2010-2011,201041,10/10/10,Northern,Influenza_Total,0
2010-2011,201041,10/10/10,Northern,Influenza_Tested,4
2010-2011,201041,10/10/10,Upper Southern,Influenza_A,0
2010-2011,201041,10/10/10,Upper Southern,Influenza_AH3,0
2010-2011,201041,10/10/10,Upper Southern,Influenza_AH1pdm09,0
2010-2011,201041,10/10/10,Upper Southern,Influenza_ANotSubtyped,0
2010-2011,201041,10/10/10,Upper Southern,Influenza_B,0
2010-2011,201041,10/10/10,Upper Southern,Influenza_Total,0
2010-2011,201041,10/10/10,Upper Southern,Influenza_Tested,23
2010-2011,201042,10/17/10,Bay Area,Influenza_A,0
2010-2011,201042,10/17/10,Bay Area,Influenza_AH3,0
2010-2011,201042,10/17/10,Bay Area,Influenza_AH1pdm09,0
2010-2011,201042,10/17/10,Bay Area,Influenza_ANotSubtyped,0
2010-2011,201042,10/17/10,Bay Area,Influenza_B,0
2010-2011,201042,10/17/10,Bay Area,Influenza_Total,0
2010-2011,201042,10/17/10,Bay Area,Influenza_Tested,10
2010-2011,201042,10/17/10,California,Influenza_A,1
2010-2011,201042,10/17/10,California,Influenza_AH3,1
2010-2011,201042,10/17/10,California,Influenza_AH1pdm09,0
2010-2011,201042,10/17/10,California,Influenza_ANotSubtyped,0
2010-2011,201042,10/17/10,California,Influenza_B,1
2010-2011,201042,10/17/10,California,Influenza_Total,2
2010-2011,201042,10/17/10,California,Influenza_Tested,56
2010-2011,201042,10/17/10,Central,Influenza_A,0
2010-2011,201042,10/17/10,Central,Influenza_AH3,0
2010-2011,201042,10/17/10,Central,Influenza_AH1pdm09,0
2010-2011,201042,10/17/10,Central,Influenza_ANotSubtyped,0
2010-2011,201042,10/17/10,Central,Influenza_B,0
2010-2011,201042,10/17/10,Central,Influenza_Total,0
2010-2011,201042,10/17/10,Central,Influenza_Tested,12
2010-2011,201042,10/17/10,Lower Southern,Influenza_A,1
2010-2011,201042,10/17/10,Lower Southern,Influenza_AH3,1
2010-2011,201042,10/17/10,Lower Southern,Influenza_AH1pdm09,0
2010-2011,201042,10/17/10,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201042,10/17/10,Lower Southern,Influenza_B,1
2010-2011,201042,10/17/10,Lower Southern,Influenza_Total,2
2010-2011,201042,10/17/10,Lower Southern,Influenza_Tested,11
2010-2011,201042,10/17/10,Northern,Influenza_A,0
2010-2011,201042,10/17/10,Northern,Influenza_AH3,0
2010-2011,201042,10/17/10,Northern,Influenza_AH1pdm09,0
2010-2011,201042,10/17/10,Northern,Influenza_ANotSubtyped,0
2010-2011,201042,10/17/10,Northern,Influenza_B,0
2010-2011,201042,10/17/10,Northern,Influenza_Total,0
2010-2011,201042,10/17/10,Northern,Influenza_Tested,7
2010-2011,201042,10/17/10,Upper Southern,Influenza_A,0
2010-2011,201042,10/17/10,Upper Southern,Influenza_AH3,0
2010-2011,201042,10/17/10,Upper Southern,Influenza_AH1pdm09,0
2010-2011,201042,10/17/10,Upper Southern,Influenza_ANotSubtyped,0
2010-2011,201042,10/17/10,Upper Southern,Influenza_B,0
2010-2011,201042,10/17/10,Upper Southern,Influenza_Total,0
2010-2011,201042,10/17/10,Upper Southern,Influenza_Tested,16
2010-2011,201043,10/24/10,Bay Area,Influenza_A,0
2010-2011,201043,10/24/10,Bay Area,Influenza_AH3,0
2010-2011,201043,10/24/10,Bay Area,Influenza_AH1pdm09,0
2010-2011,201043,10/24/10,Bay Area,Influenza_ANotSubtyped,0
2010-2011,201043,10/24/10,Bay Area,Influenza_B,0
2010-2011,201043,10/24/10,Bay Area,Influenza_Total,0
2010-2011,201043,10/24/10,Bay Area,Influenza_Tested,14
2010-2011,201043,10/24/10,California,Influenza_A,4
2010-2011,201043,10/24/10,California,Influenza_AH3,2
2010-2011,201043,10/24/10,California,Influenza_AH1pdm09,2
2010-2011,201043,10/24/10,California,Influenza_ANotSubtyped,0
2010-2011,201043,10/24/10,California,Influenza_B,0
2010-2011,201043,10/24/10,California,Influenza_Total,4
2010-2011,201043,10/24/10,California,Influenza_Tested,63
2010-2011,201043,10/24/10,Central,Influenza_A,0
2010-2011,201043,10/24/10,Central,Influenza_AH3,0
2010-2011,201043,10/24/10,Central,Influenza_AH1pdm09,0
2010-2011,201043,10/24/10,Central,Influenza_ANotSubtyped,0
2010-2011,201043,10/24/10,Central,Influenza_B,0
2010-2011,201043,10/24/10,Central,Influenza_Total,0
2010-2011,201043,10/24/10,Central,Influenza_Tested,12
2010-2011,201043,10/24/10,Lower Southern,Influenza_A,4
2010-2011,201043,10/24/10,Lower Southern,Influenza_AH3,2
2010-2011,201043,10/24/10,Lower Southern,Influenza_AH1pdm09,2
2010-2011,201043,10/24/10,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201043,10/24/10,Lower Southern,Influenza_B,0
2010-2011,201043,10/24/10,Lower Southern,Influenza_Total,4
2010-2011,201043,10/24/10,Lower Southern,Influenza_Tested,21
2010-2011,201043,10/24/10,Northern,Influenza_A,0
2010-2011,201043,10/24/10,Northern,Influenza_AH3,0
2010-2011,201043,10/24/10,Northern,Influenza_AH1pdm09,0
2010-2011,201043,10/24/10,Northern,Influenza_ANotSubtyped,0
2010-2011,201043,10/24/10,Northern,Influenza_B,0
2010-2011,201043,10/24/10,Northern,Influenza_Total,0
2010-2011,201043,10/24/10,Northern,Influenza_Tested,7
2010-2011,201043,10/24/10,Upper Southern,Influenza_A,0
2010-2011,201043,10/24/10,Upper Southern,Influenza_AH3,0
2010-2011,201043,10/24/10,Upper Southern,Influenza_AH1pdm09,0
2010-2011,201043,10/24/10,Upper Southern,Influenza_ANotSubtyped,0
2010-2011,201043,10/24/10,Upper Southern,Influenza_B,0
2010-2011,201043,10/24/10,Upper Southern,Influenza_Total,0
2010-2011,201043,10/24/10,Upper Southern,Influenza_Tested,9
2010-2011,201044,10/31/10,Bay Area,Influenza_A,0
2010-2011,201044,10/31/10,Bay Area,Influenza_AH3,0
2010-2011,201044,10/31/10,Bay Area,Influenza_AH1pdm09,0
2010-2011,201044,10/31/10,Bay Area,Influenza_ANotSubtyped,0
2010-2011,201044,10/31/10,Bay Area,Influenza_B,0
2010-2011,201044,10/31/10,Bay Area,Influenza_Total,0
2010-2011,201044,10/31/10,Bay Area,Influenza_Tested,22
2010-2011,201044,10/31/10,California,Influenza_A,4
2010-2011,201044,10/31/10,California,Influenza_AH3,3
2010-2011,201044,10/31/10,California,Influenza_AH1pdm09,1
2010-2011,201044,10/31/10,California,Influenza_ANotSubtyped,0
2010-2011,201044,10/31/10,California,Influenza_B,5
2010-2011,201044,10/31/10,California,Influenza_Total,9
2010-2011,201044,10/31/10,California,Influenza_Tested,89
2010-2011,201044,10/31/10,Central,Influenza_A,1
2010-2011,201044,10/31/10,Central,Influenza_AH3,1
2010-2011,201044,10/31/10,Central,Influenza_AH1pdm09,0
2010-2011,201044,10/31/10,Central,Influenza_ANotSubtyped,0
2010-2011,201044,10/31/10,Central,Influenza_B,0
2010-2011,201044,10/31/10,Central,Influenza_Total,1
2010-2011,201044,10/31/10,Central,Influenza_Tested,9
2010-2011,201044,10/31/10,Lower Southern,Influenza_A,3
2010-2011,201044,10/31/10,Lower Southern,Influenza_AH3,2
2010-2011,201044,10/31/10,Lower Southern,Influenza_AH1pdm09,1
2010-2011,201044,10/31/10,Lower Southern,Influenza_ANotSubtyped,0
2010-2011,201044,10/31/10,Lower Southern,Influenza_B,5
